DSET,COOPID,WBNID,CD,ELEM,UN,YEARMO,DAHR, DAY01,F,F,DAHR, DAY02,F,F,DAHR, DAY03,F,F,DAHR, DAY04,F,F,DAHR, DAY05,F,F,DAHR, DAY06,F,F,DAHR, DAY07,F,F,DAHR, DAY08,F,F,DAHR, DAY09,F,F,DAHR, DAY10,F,F,DAHR, DAY11,F,F,DAHR, DAY12,F,F,DAHR, DAY13,F,F,DAHR, DAY14,F,F,DAHR, DAY15,F,F,DAHR, DAY16,F,F,DAHR, DAY17,F,F,DAHR, DAY18,F,F,DAHR, DAY19,F,F,DAHR, DAY20,F,F,DAHR, DAY21,F,F,DAHR, DAY22,F,F,DAHR, DAY23,F,F,DAHR, DAY24,F,F,DAHR, DAY25,F,F,DAHR, DAY26,F,F,DAHR, DAY27,F,F,DAHR, DAY28,F,F,DAHR, DAY29,F,F,DAHR, DAY30,F,F,DAHR, DAY31,F,F
----,------,-----,--,----,--,------,----,------,-,-,----,------,-,-,----,------,-,-,----,------,-,-,----,------,-,-,----,------,-,-,----,------,-,-,----,------,-,-,----,------,-,-,----,------,-,-,----,------,-,-,----,------,-,-,----,------,-,-,----,------,-,-,----,------,-,-,----,------,-,-,----,------,-,-,----,------,-,-,----,------,-,-,----,------,-,-,----,------,-,-,----,------,-,-,----,------,-,-,----,------,-,-,----,------,-,-,----,------,-,-,----,------,-,-,----,------,-,-,----,------,-,-,----,------,-,-,----,------,-,-
3200,132367,94908,03,WTEQ,HI,199010,0124, 00000, ,0,0224, 00000, ,0,0324, 00000, ,0,0424, 00000, ,0,0524, 00000, ,0,0624, 00000, ,0,0724, 00000, ,0,0824, 00000, ,0,0924, 00000, ,0,1024, 00000, ,0,1124, 00000, ,0,1224, 00000, ,0,1324, 00000, ,0,1424, 00000, ,0,1524, 00000, ,0,1624, 00000, ,0,1724, 00000, ,0,1824, 00000, ,0,1924, 00000, ,0,2024, 00000, ,0,2124, 00000, ,0,2224, 00000, ,0,2324, 00000, ,0,2424, 00000, ,0,2524, 00000, ,0,2624, 00000, ,0,2724, 00000, ,0,2824, 00000, ,0,2924, 00000, ,0,3024, 00000, ,0,3124, 00000, ,0
3210,132367,94908,03,WTEQ,TI,199011,0199,-99999,M, ,0224, 00000, ,0,0324, 00000, ,0,0499,-99999,M, ,0599,-99999,M, ,0699,-99999,M, ,0724, 00000, ,0,0824, 00000, ,0,0999,-99999,M, ,1099,-99999,M, ,1199,-99999,M, ,1299,-99999,M, ,1399,-99999,M, ,1499,-99999,M, ,1599,-99999,M, ,1624, 00000, ,0,1799,-99999,M, ,1899,-99999,M, ,1999,-99999,M, ,2099,-99999,M, ,2199,-99999,M, ,2299,-99999,M, ,2399,-99999,M, ,2499,-99999,M, ,2599,-99999,M, ,2699,-99999,M, ,2799,-99999,M, ,2899,-99999,M, ,2999,-99999,M, ,3099,-99999,M, ,3199,-99999,M, 
3210,132367,94908,03,WTEQ,TI,199012,0199,-99999,M, ,0299,-99999,M, ,0324, 00017, ,0,0424, 00026, ,0,0524, 00021, ,0,0624, 00025, ,0,0724, 00028, ,0,0824, 00018, ,0,0924, 00018, ,0,1024, 00014, ,0,1124, 00011, ,0,1224, 00010, ,0,1324, 00005, ,0,1499,-99999,M, ,1524, 00011, ,0,1624, 00008, ,0,1724, 00007, ,0,1824, 00008, ,0,1924, 00008, ,0,2024, 00008, ,0,2124, 00008, ,0,2224, 00006, ,0,2324, 00007, ,0,2424, 00008, ,0,2524, 00008, ,0,2624, 00007, ,0,2724, 00007, ,0,2824, 00006, ,0,2924, 00020, ,0,3024, 00020, ,0,3124, 00012, ,0
3210,132367,94908,03,WTEQ,TI,199101,0124, 00009, ,0,0224, 00010, ,0,0324, 00011, ,0,0424, 00012, ,0,0524, 00016, ,0,0624, 00016, ,0,0724, 00016, ,0,0824, 00018, ,0,0924, 00018, ,0,1024, 00018, ,0,1124, 00020, ,0,1224, 00020, ,0,1324, 00019, ,0,1424, 00019, ,0,1524, 00018, ,0,1624, 00021, ,0,1724, 00020, ,0,1824, 00021, ,0,1924, 00024, ,0,2024, 00016, ,0,2124, 00019, ,0,2224, 00016, ,0,2324, 00022, ,0,2424, 00022, ,0,2524, 00022, ,0,2624, 00022, ,0,2724, 00027, ,0,2824, 00027, ,0,2924, 00022, ,0,3024, 00022, ,0,3124, 00021, ,0
3210,132367,94908,03,WTEQ,TI,199102,0124, 00020, ,0,0224, 00020, ,0,0324, 00013, ,0,0424, 00007, ,0,0524, 00007, ,0,0624, 00007, ,0,0799,-99999,M, ,0899,-99999,M, ,0999,-99999,M, ,1099,-99999,M, ,1199,-99999,M, ,1299,-99999,M, ,1399,-99999,M, ,1424, 00006, ,0,1524, 00003, ,0,1624, 00003, ,0,1799,-99999,M, ,1899,-99999,M, ,1999,-99999,M, ,2099,-99999,M, ,2199,-99999,M, ,2299,-99999,M, ,2399,-99999,M, ,2499,-99999,M, ,2599,-99999,M, ,2624, 00000, ,0,2799,-99999,M, ,2899,-99999,M, ,2999,-99999,M, ,3099,-99999,M, ,3199,-99999,M, 
3210,132367,94908,03,WTEQ,TI,199103,0199,-99999,M, ,0299,-99999,M, ,0399,-99999,M, ,0499,-99999,M, ,0599,-99999,M, ,0699,-99999,M, ,0799,-99999,M, ,0899,-99999,M, ,0999,-99999,M, ,1099,-99999,M, ,1199,-99999,M, ,1299,-99999,M, ,1324, 00013, ,0,1424, 00012, ,0,1524, 00011, ,0,1624, 00014, ,0,1724, 00016, ,0,1824, 00017, ,0,1999,-99999,M, ,2099,-99999,M, ,2199,-99999,M, ,2299,-99999,M, ,2399,-99999,M, ,2499,-99999,M, ,2599,-99999,M, ,2699,-99999,M, ,2799,-99999,M, ,2899,-99999,M, ,2999,-99999,M, ,3099,-99999,M, ,3199,-99999,M, 
3200,132367,94908,03,WTEQ,HI,199104,0124, 00000, ,0,0224, 00000, ,0,0324, 00000, ,0,0424, 00000, ,0,0524, 00000, ,0,0624, 00000, ,0,0724, 00000, ,0,0824, 00000, ,0,0924, 00000, ,0,1024, 00000, ,0,1124, 00000, ,0,1224, 00000, ,0,1324, 00000, ,0,1424, 00000, ,0,1524, 00000, ,0,1624, 00000, ,0,1724, 00000, ,0,1824, 00000, ,0,1924, 00000, ,0,2024, 00000, ,0,2124, 00000, ,0,2224, 00000, ,0,2324, 00000, ,0,2424, 00000, ,0,2524, 00000, ,0,2624, 00000, ,0,2724, 00000, ,0,2824, 00000, ,0,2924, 00000, ,0,3024, 00000, ,0,3199,-99999,M, 
3210,132367,94908,03,WTEQ,TI,199105,0124, 00000, ,0,0299,-99999,M, ,0399,-99999,M, ,0499,-99999,M, ,0599,-99999,M, ,0699,-99999,M, ,0799,-99999,M, ,0899,-99999,M, ,0999,-99999,M, ,1099,-99999,M, ,1199,-99999,M, ,1299,-99999,M, ,1399,-99999,M, ,1499,-99999,M, ,1599,-99999,M, ,1699,-99999,M, ,1799,-99999,M, ,1899,-99999,M, ,1999,-99999,M, ,2099,-99999,M, ,2199,-99999,M, ,2299,-99999,M, ,2399,-99999,M, ,2499,-99999,M, ,2599,-99999,M, ,2699,-99999,M, ,2799,-99999,M, ,2899,-99999,M, ,2999,-99999,M, ,3099,-99999,M, ,3199,-99999,M, 
3200,132367,94908,03,WTEQ,HI,199106,0124, 00000, ,0,0224, 00000, ,0,0324, 00000, ,0,0424, 00000, ,0,0524, 00000, ,0,0624, 00000, ,0,0724, 00000, ,0,0824, 00000, ,0,0924, 00000, ,0,1024, 00000, ,0,1124, 00000, ,0,1224, 00000, ,0,1324, 00000, ,0,1424, 00000, ,0,1524, 00000, ,0,1624, 00000, ,0,1724, 00000, ,0,1824, 00000, ,0,1924, 00000, ,0,2024, 00000, ,0,2124, 00000, ,0,2224, 00000, ,0,2324, 00000, ,0,2424, 00000, ,0,2524, 00000, ,0,2624, 00000, ,0,2724, 00000, ,0,2824, 00000, ,0,2924, 00000, ,0,3024, 00000, ,0,3199,-99999,M, 
